"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"C03","W0423",0.0528,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0544,"W0423.0hr",0.0438,0.0106,0.200757575757576,"HIG13-02","Native","HIG"
"C04","W0424",0.0202,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0522,"W0424.0hr",0.044,0.00820000000000001,0.405940594059406,"LDSc3-13","Native","LDS"
"C05","W0424",0.0202,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.053,"W0424.0hr",0.044,0.009,0.445544554455446,"LDSc3-13","Native","LDS"
"C06","W0424",0.0202,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0535,"W0424.0hr",0.044,0.0095,0.47029702970297,"LDSc3-13","Native","LDS"
"C07","W0081",0.0231,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0521,"W0081.0hr",0.0445,0.0076,0.329004329004329,"W65316","Native","Leb"
"C08","W0081",0.0231,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0517,"W0081.0hr",0.0445,0.00720000000000001,0.311688311688312,"W65316","Native","Leb"
"C09","W0081",0.0231,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0515,"W0081.0hr",0.0445,0.007,0.303030303030303,"W65316","Native","Leb"
"C10","W0080",0.014,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0517,"W0080.0hr",0.0436,0.0081,0.578571428571429,"NARc3-04","Native","NAR"
"C11","W0080",0.014,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0516,"W0080.0hr",0.0436,0.008,0.571428571428571,"NARc3-04","Native","NAR"
"C12","W0080",0.014,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0515,"W0080.0hr",0.0436,0.0079,0.564285714285714,"NARc3-04","Native","NAR"
"D01","W0425",0.0049,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0504,"W0425.0hr",0.0436,0.0068,1.38775510204082,"NARc3-05","Native","NAR"
"D02","W0425",0.0049,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0512,"W0425.0hr",0.0436,0.0076,1.55102040816327,"NARc3-05","Native","NAR"
"D03","W0425",0.0049,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0519,"W0425.0hr",0.0436,0.0083,1.69387755102041,"NARc3-05","Native","NAR"
