"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"C05","W0424",0.0202,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0613,"W0424.0hr",0.0424,0.0189,0.935643564356436,"LDSc3-13","Native","LDS"
"C06","W0424",0.0202,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0615,"W0424.0hr",0.0424,0.0191,0.945544554455445,"LDSc3-13","Native","LDS"
"C07","W0081",0.0231,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0397,"W0081.0hr",0.0402,-5e-04,-0.0216450216450217,"W65316","Native","Leb"
"C08","W0081",0.0231,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0403,"W0081.0hr",0.0402,0.000100000000000003,0.00432900432900445,"W65316","Native","Leb"
"C09","W0081",0.0231,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.04,"W0081.0hr",0.0402,-0.000199999999999999,-0.00865800865800861,"W65316","Native","Leb"
"C10","W0080",0.014,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.04,"W0080.0hr",0.0401,-9.99999999999959e-05,-0.00714285714285685,"NARc3-04","Native","NAR"
"C11","W0080",0.014,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0398,"W0080.0hr",0.0401,-0.000299999999999995,-0.0214285714285711,"NARc3-04","Native","NAR"
"C12","W0080",0.014,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0396,"W0080.0hr",0.0401,-0.000499999999999994,-0.0357142857142852,"NARc3-04","Native","NAR"
"D01","W0425",0.0049,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.039,"W0425.0hr",0.0397,-0.000699999999999999,-0.142857142857143,"NARc3-05","Native","NAR"
"D02","W0425",0.0049,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.039,"W0425.0hr",0.0397,-0.000699999999999999,-0.142857142857143,"NARc3-05","Native","NAR"
"D03","W0425",0.0049,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0385,"W0425.0hr",0.0397,-0.0012,-0.244897959183673,"NARc3-05","Native","NAR"
"D04","W0082",0.0147,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0394,"W0082.0hr",0.0399,-5e-04,-0.0340136054421769,"SAN28-02","Native","SAN"
"D05","W0082",0.0147,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0413,"W0082.0hr",0.0399,0.00140000000000001,0.0952380952380956,"SAN28-02","Native","SAN"
"D06","W0082",0.0147,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0387,"W0082.0hr",0.0399,-0.0012,-0.0816326530612245,"SAN28-02","Native","SAN"
"D07","W0426",0.0241,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0389,"W0426.0hr",0.0416,-0.0027,-0.112033195020747,"DEB32","Native","DEB"
"D08","W0426",0.0241,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0399,"W0426.0hr",0.0416,-0.0017,-0.0705394190871369,"DEB32","Native","DEB"
"D09","W0426",0.0241,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0396,"W0426.0hr",0.0416,-0.00199999999999999,-0.0829875518672197,"DEB32","Native","DEB"
"D10","W0083",0.0523,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.086,"W0083.0hr",0.0424,0.0436,0.833652007648183,"MUSs2-04","Native","MUS"
"D11","W0083",0.0523,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0849,"W0083.0hr",0.0424,0.0425,0.812619502868069,"MUSs2-04","Native","MUS"
"D12","W0083",0.0523,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0868,"W0083.0hr",0.0424,0.0444,0.848948374760994,"MUSs2-04","Native","MUS"
