Plate_number,Pair_number,Caterpillar,Native_accession,Invasive_accession,Replicate,Before_wtmg_Native,waterloss_correction_Before_Native,After_wtmg_Native,Diff_wtmg_Native,Prop_wtmg_Native,Before_wtmg_Invasive,waterloss_correction_before_Invasive,After_wtmg_Invasive,Diff_wtmg_Invasive,prop_wtmg_Invasive,Setup_date,WinnerTest
114,11,velvetbean,W65362,PI368949,2,5.4,2.724873225,0.8,4.6,0.8518518519,18.9,9.537056288,0.51,18.39,0.973015873,06-16-2022,0.1211640211
115,11,velvetbean,W65362,PI368949,3,16.1,8.12415906,2.64,13.46,0.8360248447,30.8,15.54186951,9.71,21.09,0.6847402597,06-16-2022,-0.151284585
116,11,velvetbean,W65362,PI368949,4,8.4,4.238691684,3.53,4.87,0.5797619048,21.4,10.79857167,1.23,20.17,0.9425233645,06-16-2022,0.3627614597
197,11,soybean,W65362,PI368949,1,27.5,13.8766692,4.33,23.17,0.8425454545,20.5,10.34442613,1.03,19.47,0.9497560976,06-16-2022,0.1072106431
198,11,soybean,W65362,PI368949,4,15.5,7.821395369,18.25,-2.75,-0.1774193548,25.8,13.01883874,3.26,22.54,0.8736434109,06-16-2022,1.0510627657
199,11,soybean,W65362,PI368949,2,20.6,10.39488675,16.72,3.88,0.1883495146,30.9,15.59233012,4.78,26.12,0.8453074434,06-16-2022,0.6569579288
200,11,soybean,W65362,PI368949,3,12.1,6.105734449,1.46,10.64,0.879338843,13.1,6.610340602,2.33,10.77,0.8221374046,06-16-2022,-0.0572014384
201,11,soybean,W65362,PI368949,5,38.1,19.22549442,14.57,23.53,0.6175853018,21.1,10.64718982,1.36,19.74,0.9355450237,06-16-2022,0.3179597219
202,11,soybean,W65362,PI368949,6,28.6,14.43173597,2.61,25.99,0.9087412587,25,12.61515382,1.91,23.09,0.9236,06-16-2022,0.0148587413
203,11,soybean,W65362,PI368949,7,17.4,8.780147059,0.82,16.58,0.9528735632,20.6,10.39488675,2.2,18.4,0.8932038835,06-16-2022,-0.0596696797
204,11,soybean,W65362,PI368949,8,14.8,7.468171062,0.83,13.97,0.9439189189,10.1,5.096522143,1.26,8.84,0.8752475248,06-16-2022,-0.0686713941
25,7,velvetbean,W65364,PI368958,4,20.5,10.34442613,2.89,17.61,0.8590243902,19.5,9.83981998,2.49,17.01,0.8723076923,06-15-2022,0.0132833021000001
26,7,velvetbean,W65364,PI368958,3,45.7,23.06050118,5.65,40.05,0.8763676149,37.7,19.02365196,8.32,29.38,0.7793103448,06-15-2022,-0.0970572701
27,7,velvetbean,W65364,PI368958,2,11,5.550667681,1.77,9.23,0.8390909091,17.2,8.679225829,13.33,3.87,0.225,06-15-2022,-0.6140909091
28,7,velvetbean,W65364,PI368958,1,30.1,15.1886452,3.91,26.19,0.8700996678,36.5,18.41812458,,36.5,1,06-15-2022,0.1299003322
85,7,soybean,W65364,PI368958,4,26.2,13.2206812,1.69,24.51,0.9354961832,25.7,12.96837813,1.94,23.76,0.9245136187,06-15-2022,-0.0109825645
86,7,soybean,W65364,PI368958,2,29.7,14.98680274,1.09,28.61,0.9632996633,18.2,9.183831981,3.42,14.78,0.8120879121,06-15-2022,-0.1512117512
87,7,soybean,W65364,PI368958,3,23.1,11.65640213,0,23.1,1,28.5,14.38127536,0.54,27.96,0.9810526316,06-15-2022,-0.0189473684
88,7,soybean,W65364,PI368958,1,14.1,7.114946755,2.78,11.32,0.8028368794,18.8,9.486595673,0.45,18.35,0.9760638298,06-15-2022,0.1732269504
89,7,soybean,W65364,PI368958,5,27.6,13.92712982,0.58,27.02,0.9789855072,22.2,11.20225659,1.68,20.52,0.9243243243,06-15-2022,-0.0546611829
90,7,soybean,W65364,PI368958,6,27.5,13.8766692,2.2,25.3,0.92,25.6,12.91791751,0,25.6,1,06-15-2022,0.08
91,7,soybean,W65364,PI368958,7,37,18.67042765,5.98,31.02,0.8383783784,30.2,15.23910582,2.42,27.78,0.9198675497,06-15-2022,0.0814891713
92,7,soybean,W65364,PI368958,8,19.2,9.688438134,1.58,17.62,0.9177083333,15.9,8.02323783,0,15.9,1,06-15-2022,0.0822916667
117,12,velvetbean,W65376,W65341,4,32.8,16.55108181,0,32.8,1,65.7,33.15262424,15.06,50.64,0.7707762557,06-16-2022,-0.2292237443
