Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Range,Genotype,Site,StdCurveCalc,DilutionCalc_x10,Protein
C12,W0080,0,0.014,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1761,Native,NARc3-04,NAR,108.06619,1080.6619,77190.13571
D01,W0425,0,0.0049,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1366,Native,NARc3-05,NAR,70.22914,702.2914,143324.7755
D02,W0425,0,0.0049,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1368,Native,NARc3-05,NAR,70.42072,704.2072,143715.7551
D03,W0425,0,0.0049,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.136,Native,NARc3-05,NAR,69.6544,696.544,142151.8367
D04,W0082,0,0.0147,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1373,Native,SAN28-02,SAN,70.89967,708.9967,48231.06803
D05,W0082,0,0.0147,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1337,Native,SAN28-02,SAN,67.45123,674.5123,45885.19048
D06,W0082,0,0.0147,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1364,Native,SAN28-02,SAN,70.03756,700.3756,47644.59864
D07,W0426,0,0.0241,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1352,Native,DEB32,DEB,68.88808,688.8808,28584.26556
D08,W0426,0,0.0241,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.136,Native,DEB32,DEB,69.6544,696.544,28902.24066
D09,W0426,0,0.0241,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1256,Native,DEB32,DEB,59.69224,596.9224,24768.56432
D10,W0083,0,0.0523,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1912,Native,MUSs2-04,MUS,122.53048,1225.3048,23428.39006
D11,W0083,0,0.0523,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1943,Native,MUSs2-04,MUS,125.49997,1254.9997,23996.17017
D12,W0083,0,0.0523,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1975,Native,MUSs2-04,MUS,128.56525,1285.6525,24582.26577
E01,W0427,0,0.0249,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1736,Native,W65323,Fra,105.67144,1056.7144,42438.32932
E02,W0427,0,0.0249,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1699,Native,W65323,Fra,102.12721,1021.2721,41014.94378
E03,W0427,0,0.0249,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1655,Native,W65323,Fra,97.91245,979.1245,39322.26908
E04,W0084,0,0.0232,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1533,Native,CDCc2-06-01,CDC,86.22607,862.2607,37166.40948
