Herbivore,PlantID_Induced,LfWt_Initial_Induced,LfWt_Final_Induced,PlantID_Const,LfWt_Initial_Const,LfWt_Final_Const,Range,Pair
Soybean,W0305,0.1082,0.0962,W0362,0.1051,0.0568,Native,29
Soybean,W0307,0.0973,0.0818,W0448,0.1491,0.1547,Native,30
Soybean,W0614,0.0588,0.0323,W0793,0.0734,0.0256,Native,31
Soybean,W0617,0.0739,0.0307,W0785,0.1195,0.1128,Native,32
Soybean,W0771,0.0993,0.0943,W0337,0.1294,0.0978,Native,33
Soybean,W0625,0.0475,0.0443,W0819,0.0606,0.0282,Native,34
Soybean,W0626,0.0941,0.0811,W0836,0.0855,0.1378,Native,35
Soybean,W0524,0.646,0.033,W0488,0.867,0.087,Native,36
Soybean,W0525,0.613,0.0089,W0490,0.0253,0.0183,Native,37
Soybean,W0533,0.86,0.0836,W0492,0.1029,0.0774,Native,38
Soybean,W0536,0.719,0.0669,W0493,0.0442,0.0291,Native,39
Soybean,W0049,0.282,0.0215,W0088,0.0315,0.0185,Native,40
